INFO:Объект каталога:Item(item_name='.git', file_ext=None, dir_flag=True, parent_dir_name='HW_Python')
INFO:Объект каталога:Item(item_name='.gitignore', file_ext='', dir_flag=False, parent_dir_name='HW_Python')
INFO:Объект каталога:Item(item_name='HW1', file_ext=None, dir_flag=True, parent_dir_name='HW_Python')
INFO:Объект каталога:Item(item_name='HW13', file_ext=None, dir_flag=True, parent_dir_name='HW_Python')
INFO:Объект каталога:Item(item_name='HW15', file_ext=None, dir_flag=True, parent_dir_name='HW_Python')
INFO:Объект каталога:Item(item_name='HW2', file_ext=None, dir_flag=True, parent_dir_name='HW_Python')
INFO:Объект каталога:Item(item_name='HW3', file_ext=None, dir_flag=True, parent_dir_name='HW_Python')
INFO:Объект каталога:Item(item_name='HW4', file_ext=None, dir_flag=True, parent_dir_name='HW_Python')
INFO:Объект каталога:Item(item_name='HW5', file_ext=None, dir_flag=True, parent_dir_name='HW_Python')
INFO:Объект каталога:Item(item_name='HW7', file_ext=None, dir_flag=True, parent_dir_name='HW_Python')
INFO:Объект каталога:Item(item_name='HW8', file_ext=None, dir_flag=True, parent_dir_name='HW_Python')
INFO:Объект каталога:Item(item_name='HW9', file_ext=None, dir_flag=True, parent_dir_name='HW_Python')
INFO:Объект каталога:Item(item_name='README', file_ext='.md', dir_flag=False, parent_dir_name='HW_Python')
INFO:Объект каталога:Item(item_name='venv', file_ext=None, dir_flag=True, parent_dir_name='HW_Python')
